abstract,field,search_word,title
"  Combined resistance noise and muon-spin relaxation ($\mu$SR) measurements of
the ferromagnetic semiconductor HgCr$_2$Se$_4$ suggest a degree of
magnetoelectric coupling and provide evidence for the existence of isolated
magnetic polarons. These form at elevated temperatures and undergo a
percolation transition with a drastic enhancement of the low-frequency
1/$f$-type charge fluctuations at the insulator-to-metal transition at $\sim 95
- 98$ K in the vicinity of the magnetic ordering temperature $T_C \sim 105 -
107$ K. Upon approaching the percolation threshold from above, the strikingly
unusual dynamics of a distinct two-level fluctuator superimposed on the $1/f$
noise can be described by a slowing down of the dynamics of a nanoscale
magnetic cluster, a magnetic polaron, when taking into account an effective
radius of the polaron depending on the spin correlation length. Coinciding
temperature scales found in $\mu$SR and noise measurements suggest changes in
the magnetic dynamics over a wide range of frequencies and are consistent with
the existence of large polarized and domain-wall-like regions at low
temperatures, that result from the freezing of spin dynamics at the magnetic
polaron percolation transition.

    ", Strongly Correlated Electrons,clustering,Probing the magnetic polaron state in the ferromagnetic semiconductor HgCr$_2$Se$_4$ with resistance fluctuation and muon-spin spectroscopy measurements
"  Supermassive black holes dominate the gravitational potential in galactic
nuclei. In these dense environments, stars follow nearly Keplerian orbits and
see their orbital planes relax through the potential fluctuations generated by
the stellar cluster itself. For typical astrophysical galactic nuclei, the most
likely outcome of this vector resonant relaxation (VRR) is that the orbital
planes of the most massive stars spontaneously self-align within a narrow disc.
We present a maximum entropy method to systematically determine this long-term
distribution of orientations and use it for a wide range of stellar orbital
parameters and initial conditions. The heaviest stellar objects are found to
live within a thin equatorial disk. The thickness of this disk depends on the
stars' initial mass function, and on the geometry of the initial cluster. This
work highlights a possible (indirect) novel method to constrain the
distribution of intermediate mass black holes in galactic nuclei.

    ", Astrophysics of Galaxies,clustering,Orbital alignment and mass segregation in galactic nuclei via vector resonant relaxation
"  Parkinson disease (PD)'s speech recognition is an effective way for its
diagnosis, which has become a hot and difficult research area in recent years.
As we know, there are large corpuses (segments) within one subject. However,
too large segments will increase the complexity of the classification model.
Besides, the clinicians interested in finding diagnostic speech markers that
reflect the pathology of the whole subject. Since the optimal relevant features
of each speech sample segment are different, it is difficult to find the
uniform diagnostic speech markers. Therefore, it is necessary to reconstruct
the existing large segments within one subject into few segments even one
segment within one subject, which can facilitate the extraction of relevant
speech features to characterize diagnostic markers for the whole subject. To
address this problem, an enveloped deep speech sample learning algorithm for
Parkinson's subjects based on multilayer fuzzy c-mean (MlFCM) clustering and
interlayer consistency preservation is proposed in this paper. The algorithm
can be used to achieve intra-subject sample reconstruction for Parkinson's
disease (PD) to obtain a small number of high-quality prototype sample
segments. At the end of the paper, several representative PD speech datasets
are selected and compared with the state-of-the-art related methods,
respectively. The experimental results show that the proposed algorithm is
effective signifcantly.

    ", Sound,clustering,Subject Enveloped Deep Sample Fuzzy Ensemble Learning Algorithm of Parkinson's Speech Data
"  The ability to analyse and differentiate network protocol traffic is crucial
for network resource management to provide differentiated services by Telcos.
Automated Protocol Analysis (APA) is crucial to significantly improve
efficiency and reduce reliance on human experts. There are numerous automated
state-of-the-art unsupervised methods for clustering unknown protocols in APA.
However, many such methods have not been sufficiently explored using diverse
test datasets. Thus failing to demonstrate their robustness to generalise. This
study proposed a comprehensive framework to evaluate various combinations of
feature extraction and clustering methods in APA. It also proposed a novel
approach to automate selection of dataset dependent model parameters for
feature extraction, resulting in improved performance. Promising results of a
novel field-based tokenisation approach also led to our proposal of a novel
automated hybrid approach for feature extraction and clustering of unknown
protocols in APA. Our proposed hybrid approach performed the best in 7 out of 9
of the diverse test datasets, thus displaying the robustness to generalise
across diverse unknown protocols. It also outperformed the unsupervised
clustering technique in state-of-the-art open-source APA tool, NETZOB in all
test datasets.

    ", Machine Learning,clustering,Exploring Unsupervised Learning Methods for Automated Protocol Analysis
"  Modern datasets often contain large subsets of correlated features and
nuisance features, which are not or loosely related to the main underlying
structures of the data. Nuisance features can be identified using the Laplacian
score criterion, which evaluates the importance of a given feature via its
consistency with the Graph Laplacians' leading eigenvectors. We demonstrate
that in the presence of large numbers of nuisance features, the Laplacian must
be computed on the subset of selected features rather than on the complete
feature set. To do this, we propose a fully differentiable approach for
unsupervised feature selection, utilizing the Laplacian score criterion to
avoid the selection of nuisance features. We employ an autoencoder architecture
to cope with correlated features, trained to reconstruct the data from the
subset of selected features. Building on the recently proposed concrete layer
that allows controlling for the number of selected features via architectural
design, simplifying the optimization process. Experimenting on several
real-world datasets, we demonstrate that our proposed approach outperforms
similar approaches designed to avoid only correlated or nuisance features, but
not both. Several state-of-the-art clustering results are reported.

    ", Machine Learning,unsupervised learning,Deep Unsupervised Feature Selection by Discarding Nuisance and Correlated Features
"  Millimeter-wave cellular communication requires beamforming procedures that
enable alignment of the transmitter and receiver beams as the user equipment
(UE) moves. For efficient beam tracking it is advantageous to classify users
according to their traffic and mobility patterns. Research to date has
demonstrated efficient ways of machine learning based UE classification.
Although different machine learning approaches have shown success, most of them
are based on physical layer attributes of the received signal. This, however,
imposes additional complexity and requires access to those lower layer signals.
In this paper, we show that traditional supervised and even unsupervised
machine learning methods can successfully be applied on higher layer channel
measurement reports in order to perform UE classification, thereby reducing the
complexity of the classification process.

    ", Information Theory,unsupervised learning,Learning-Based UE Classification in Millimeter-Wave Cellular Systems With Mobility
"  Person re-identification (Re-ID) has been a significant research topic in the
past decade due to its real-world applications and research significance. While
supervised person Re-ID methods achieve superior performance over unsupervised
counterparts, they can not scale to large unlabelled datasets and new domains
due to the prohibitive labelling cost. Therefore, unsupervised person Re-ID has
drawn increasing attention for its potential to address the scalability issue
in person Re-ID. Unsupervised person Re-ID is challenging primarily due to
lacking identity labels to supervise person feature learning. The corresponding
solutions are diverse and complex, with various merits and limitations.
Therefore, comprehensive surveys on this topic are essential to summarise
challenges and solutions to foster future research. Existing person Re-ID
surveys have focused on supervised methods from classifications and
applications but lack detailed discussion on how the person Re-ID solutions
address the underlying challenges. This survey review recent works on
unsupervised person Re-ID from the perspective of challenges and solutions.
Specifically, we provide an in-depth analysis of highly influential methods
considering the four significant challenges in unsupervised person Re-ID: 1)
lacking ground-truth identity labels to supervise person feature learning; 2)
learning discriminative person features with pseudo-supervision; 3) learning
cross-camera invariant person feature, and 4) the domain shift between
datasets. We summarise and analyse evaluation results and provide insights on
the effectiveness of the solutions. Finally, we discuss open issues and suggest
some promising future research directions.

    ", Computer Vision and Pattern Recognition,unsupervised learning,Unsupervised Person Re-Identification: A Systematic Survey of Challenges and Solutions
"  Unsupervised domain adaptation (UDA) aims to transfer knowledge learned from
a labeled source domain to a different unlabeled target domain. Most existing
UDA methods focus on learning domain-invariant feature representation, either
from the domain level or category level, using convolution neural networks
(CNNs)-based frameworks. One fundamental problem for the category level based
UDA is the production of pseudo labels for samples in target domain, which are
usually too noisy for accurate domain alignment, inevitably compromising the
UDA performance. With the success of Transformer in various tasks, we find that
the cross-attention in Transformer is robust to the noisy input pairs for
better feature alignment, thus in this paper Transformer is adopted for the
challenging UDA task. Specifically, to generate accurate input pairs, we design
a two-way center-aware labeling algorithm to produce pseudo labels for target
samples. Along with the pseudo labels, a weight-sharing triple-branch
transformer framework is proposed to apply self-attention and cross-attention
for source/target feature learning and source-target domain alignment,
respectively. Such design explicitly enforces the framework to learn
discriminative domain-specific and domain-invariant representations
simultaneously. The proposed method is dubbed CDTrans (cross-domain
transformer), and it provides one of the first attempts to solve UDA tasks with
a pure transformer solution. Extensive experiments show that our proposed
method achieves the best performance on Office-Home, VisDA-2017, and DomainNet
datasets.

    ", Computer Vision and Pattern Recognition,unsupervised learning,CDTrans: Cross-domain Transformer for Unsupervised Domain Adaptation
"  One of the outstanding analytical problems in X-ray single particle imaging
(SPI) is the classification of structural heterogeneity, which is especially
difficult given the low signal-to-noise ratios of individual patterns and that
even identical objects can yield patterns that vary greatly when orientation is
taken into consideration. We propose two methods which explicitly account for
this orientation-induced variation and can robustly determine the structural
landscape of a sample ensemble. The first, termed common-line principal
component analysis (PCA) provides a rough classification which is essentially
parameter-free and can be run automatically on any SPI dataset. The second
method, utilizing variation auto-encoders (VAEs) can generate 3D structures of
the objects at any point in the structural landscape. We implement both these
methods in combination with the noise-tolerant expand-maximize-compress (EMC)
algorithm and demonstrate its utility by applying it to an experimental dataset
from gold nanoparticles with only a few thousand photons per pattern and
recover both discrete structural classes as well as continuous deformations.
These developments diverge from previous approaches of extracting reproducible
subsets of patterns from a dataset and open up the possibility to move beyond
studying homogeneous sample sets and study open questions on topics such as
nanocrystal growth and dynamics as well as phase transitions which have not
been externally triggered.

    ", Image and Video Processing,unsupervised learning,Unsupervised learning approaches to characterize heterogeneous samples using X-ray single particle imaging
"  The paper describes our proposed methodology for the seven basic expression
classification track of Affective Behavior Analysis in-the-wild (ABAW)
Competition 2021. In this task, facial expression recognition (FER) methods aim
to classify the correct expression category from a diverse background, but
there are several challenges. First, to adapt the model to in-the-wild
scenarios, we use the knowledge from pre-trained large-scale face recognition
data. Second, we propose an ensemble model with a convolution neural network
(CNN), a CNN-recurrent neural network (CNN-RNN), and a CNN-Transformer
(CNN-Transformer), to incorporate both spatial and temporal information. Our
ensemble model achieved F1 as 0.4133, accuracy as 0.6216 and final metric as
0.4821 on the validation set.

    ", Computer Vision and Pattern Recognition,recurrent neural networks,Spatial and Temporal Networks for Facial Expression Recognition in the Wild Videos
"  Controlling the model to generate texts of different categories is a
challenging task that is getting more and more attention. Recently, generative
adversarial net (GAN) has shown promising results in category text generation.
However, the texts generated by GANs usually suffer from the problems of mode
collapse and training instability. To avoid the above problems, we propose a
novel model named category-aware variational recurrent neural network
(CatVRNN), which is inspired by multi-task learning. In our model, generation
and classification are trained simultaneously, aiming at generating texts of
different categories. Moreover, the use of multi-task learning can improve the
quality of generated texts, when the classification task is appropriate. And we
propose a function to initialize the hidden state of CatVRNN to force model to
generate texts of a specific category. Experimental results on three datasets
demonstrate that our model can do better than several state-of-the-art text
generation methods based GAN in the category accuracy and quality of generated
texts.

    ", Computation and Language,recurrent neural networks,CatVRNN: Generating Category Texts via Multi-task Learning
"  This paper presents an attempt to employ the mask language modeling approach
of BERT to pre-train a 12-layer Transformer model over 4,166 pieces of
polyphonic piano MIDI files for tackling a number of symbolic-domain
discriminative music understanding tasks. These include two note-level
classification tasks, i.e., melody extraction and velocity prediction, as well
as two sequence-level classification tasks, i.e., composer classification and
emotion classification. We find that, given a pre-trained Transformer, our
models outperform recurrent neural network based baselines with less than 10
epochs of fine-tuning. Ablation studies show that the pre-training remains
effective even if none of the MIDI data of the downstream tasks are seen at the
pre-training stage, and that freezing the self-attention layers of the
Transformer at the fine-tuning stage slightly degrades performance. All the
five datasets employed in this work are publicly available, as well as
checkpoints of our pre-trained and fine-tuned models. As such, our research can
be taken as a benchmark for symbolic-domain music understanding.

    ", Sound,recurrent neural networks,MidiBERT-Piano: Large-scale Pre-training for Symbolic Music Understanding
"  Most of the existing deep learning-based sequential recommendation approaches
utilize the recurrent neural network architecture or self-attention to model
the sequential patterns and temporal influence among a user's historical
behavior and learn the user's preference at a specific time. However, these
methods have two main drawbacks. First, they focus on modeling users' dynamic
states from a user-centric perspective and always neglect the dynamics of items
over time. Second, most of them deal with only the first-order user-item
interactions and do not consider the high-order connectivity between users and
items, which has recently been proved helpful for the sequential
recommendation. To address the above problems, in this article, we attempt to
model user-item interactions by a bipartite graph structure and propose a new
recommendation approach based on a Position-enhanced and Time-aware Graph
Convolutional Network (PTGCN) for the sequential recommendation. PTGCN models
the sequential patterns and temporal dynamics between user-item interactions by
defining a position-enhanced and time-aware graph convolution operation and
learning the dynamic representations of users and items simultaneously on the
bipartite graph with a self-attention aggregator. Also, it realizes the
high-order connectivity between users and items by stacking multi-layer graph
convolutions. To demonstrate the effectiveness of PTGCN, we carried out a
comprehensive evaluation of PTGCN on three real-world datasets of different
sizes compared with a few competitive baselines. Experimental results indicate
that PTGCN outperforms several state-of-the-art models in terms of two
commonly-used evaluation metrics for ranking.

    ", Information Retrieval,recurrent neural networks,Position-enhanced and Time-aware Graph Convolutional Network for Sequential Recommendations
"  Recurrent Neural Networks (RNNs) represent the de facto standard machine
learning tool for sequence modelling, owing to their expressive power and
memory. However, when dealing with large dimensional data, the corresponding
exponential increase in the number of parameters imposes a computational
bottleneck. The necessity to equip RNNs with the ability to deal with the curse
of dimensionality, such as through the parameter compression ability inherent
to tensors, has led to the development of the Tensor-Train RNN (TT-RNN).
Despite achieving promising results in many applications, the full potential of
the TT-RNN is yet to be explored in the context of interpretable financial
modelling, a notoriously challenging task characterized by multi-modal data
with low signal-to-noise ratio. To address this issue, we investigate the
potential of TT-RNN in the task of financial forecasting of currencies. We
show, through the analysis of TT-factors, that the physical meaning underlying
tensor decomposition, enables the TT-RNN model to aid the interpretability of
results, thus mitigating the notorious ""black-box"" issue associated with neural
networks. Furthermore, simulation results highlight the regularization power of
TT decomposition, demonstrating the superior performance of TT-RNN over its
uncompressed RNN counterpart and other tensor forecasting methods.

    ", Machine Learning,recurrent neural networks,Tensor-Train Recurrent Neural Networks for Interpretable Multi-Way Financial Forecasting
"  This paper describes our contribution to SemEval-2020 Task 7: Assessing Humor
in Edited News Headlines. Here we present a method based on a deep neural
network. In recent years, quite some attention has been devoted to humor
production and perception. Our team KdeHumor employs recurrent neural network
models including Bi-Directional LSTMs (BiLSTMs). Moreover, we utilize the
state-of-the-art pre-trained sentence embedding techniques. We analyze the
performance of our method and demonstrate the contribution of each component of
our architecture.

    ", Computation and Language,recurrent neural networks,kdehumor at semeval-2020 task 7: a neural network model for detecting funniness in dataset humicroedit
"  We use deep imaging from the Dark Energy Camera to explore the peripheral
regions of nine globular clusters in the outer halo of the Milky Way. Apart
from Whiting 1 and NGC 7492, which are projected against the Sagittarius
stream, we see no evidence for adjacent stellar populations to indicate any of
these clusters is associated with coherent tidal debris from a destroyed host
dwarf. We also find no evidence for tidal tails around any of the clusters in
our sample; however, both NGC 1904 and 6981 appear to possess outer envelopes.
Motivated by a slew of recent Gaia-based discoveries, we compile a sample of
clusters with robust detections of extra-tidal structure, and search for
correlations with orbital properties. While we observe that clusters with tidal
tails are typically on moderately or very eccentric orbits that are highly
inclined to the Galactic plane and often retrograde, these are neither
necessary nor sufficient conditions for the formation of extra-tidal structure.
That many objects with tidal tails appear to be accreted leads us to speculate
that this lack of consistency may stem from the inhomogeneous dynamical history
of the Milky Way globular cluster system. Finally, we note that clusters with
prominent stellar envelopes detected in ground-based imaging (such as NGC 1851
and 7089) are now all known from Gaia to possess long tidal tails --
experimental confirmation that the presence of an extended envelope is
indicative of tidal erosion.

    ", Astrophysics of Galaxies,clustering,A search for stellar structures around nine outer halo globular clusters in the Milky Way
"  The outer light (stellar halos) of massive galaxies has recently emerged as a
possible low scatter tracer of dark matter halo mass. To test the robustness of
outer light measurements across different data sets, we compare the surface
brightness profiles of massive galaxies using four independent data sets: the
Hyper Suprime-Cam survey (HSC), the Dark Energy Camera Legacy Survey (DECaLS),
the Sloan Digital Sky Survey (SDSS), and the Dragonfly Wide Field Survey
(Dragonfly). We use customized pipelines for HSC and DECaLS to achieve better
sky background subtraction. For galaxies at $z<0.05$, Dragonfly has the best
control of systematics, reaching surface brightness levels of $\mu_r \sim 30$
mag/arcsec$^{2}$. At $0.19<z<0.50$, HSC can reliably recover surface brightness
profiles to $\mu_{r} \sim 28.5$ mag/arcsec$^{2}$ reaching $R=100 - 150$ kpc.
DECaLS surface brightness profiles show good agreement with HSC but are noisier
at large radii. The median profiles of galaxy ensembles in both HSC and DECaLS
reach $R > 200$ kpc without significant bias. At $0.19<z<0.50$, DECaLS and HSC
measurements of the stellar mass contained within 100 kpc agree within 0.05
dex. Finally, we use weak gravitational lensing to show that measurements of
outer light with DECaLS at $0.19<z<0.50$ show a similar promise as HSC as a low
scatter proxy of halo mass. The tests and results from this paper represent an
important step forward for accurate measurements of the outer light of massive
galaxies and demonstrate that outer light measurements from DECam imaging will
be a promising method for finding galaxy clusters for DES and DESI.

    ", Astrophysics of Galaxies,clustering,"Reaching for the Edge I: Probing the Outskirts of Massive Galaxies with HSC, DECaLS, SDSS, and Dragonfly"
"  In the mining industry, many reports are generated in the project management
process. These past documents are a great resource of knowledge for future
success. However, it would be a tedious and challenging task to retrieve the
necessary information if the documents are unorganized and unstructured.
Document clustering is a powerful approach to cope with the problem, and many
methods have been introduced in past studies. Nonetheless, there is no silver
bullet that can perform the best for any types of documents. Thus, exploratory
studies are required to apply the clustering methods for new datasets. In this
study, we will investigate multiple topic modelling (TM) methods. The
objectives are finding the appropriate approach for the mining project reports
using the dataset of the Geological Survey of Queensland, Department of
Resources, Queensland Government, and understanding the contents to get the
idea of how to organise them. Three TM methods, Latent Dirichlet Allocation
(LDA), Nonnegative Matrix Factorization (NMF), and Nonnegative Tensor
Factorization (NTF) are compared statistically and qualitatively. After the
evaluation, we conclude that the LDA performs the best for the dataset;
however, the possibility remains that the other methods could be adopted with
some improvements.

    ", Information Retrieval,clustering,Investigation of Topic Modelling Methods for Understanding the Reports of the Mining Projects in Queensland
"  Using the Parker Solar Probe FIELDS bandpass filter data and SWEAP electron
data from Encounters 1 through 9, we show statistical properties of narrowband
whistlers from ~16 Rs to ~130 Rs, and compare wave occurrence to electron
properties including beta, temperature anisotropy and heat flux. Whistlers are
very rarely observed inside ~28 Rs (~0.13 au). Outside 28 Rs, they occur within
a narrow range of parallel electron beta from ~1 to 10, and with a beta-heat
flux occurrence consistent with the whistler heat flux fan instability. Because
electron distributions inside ~30 Rs display signatures of the ambipolar
electric field, the lack of whistlers suggests that the modification of the
electron distribution function associated with the ambipolar electric field or
changes in other plasma properties must result in lower instability limits for
the other modes (including solitary waves, ion acoustic waves) that are
observed close to the Sun. The lack of narrowband whistler-mode waves close to
the Sun and in regions of either low (<.1) or high (>10) beta is also
significant for the understanding and modeling of the evolution of
flare-accelerated electrons, and the regulation of heat flux in astrophysical
settings including other stellar winds, the interstellar medium, accretion
disks, and the intra-galaxy cluster medium

    ", Solar and Stellar Astrophysics,clustering,Parker Solar Probe evidence for the absence of whistlers close to the Sun to scatter strahl and regulate heat flux
"  In the field of deep learning, various architectures have been developed.
However, most studies are limited to specific tasks or datasets due to their
fixed layer structure. This paper does not express the structure delivering
information as a network model but as a data structure called an association
tree(AT). And we propose two artificial association networks(AANs) designed to
solve the problems of existing networks by analyzing the structure of human
neural networks. Defining the starting and ending points of the path in a
single graph is difficult, and a tree cannot express the relationship among
sibling nodes. On the contrary, an AT can express leaf and root nodes as the
starting and ending points of the path and the relationship among sibling
nodes. Instead of using fixed sequence layers, we create an AT for each data
and train AANs according to the tree's structure. AANs are data-driven learning
in which the number of convolutions varies according to the depth of the tree.
Moreover, AANs can simultaneously learn various types of datasets through the
recursive learning. Depth-first convolution (DFC) encodes the interaction
result from leaf nodes to the root node in a bottom-up approach, and
depth-first deconvolution (DFD) decodes the interaction result from the root
node to the leaf nodes in a top-down approach. We conducted three experiments.
The first experiment verified whether it could be processed by combining AANs
and feature extraction networks. In the second, we compared the performance of
networks that separately learned image, sound, and tree, graph structure
datasets with the performance simultaneously learned by connecting these
networks. In the third, we verified whether the output of AANs can embed all
data in the AT. As a result, AATs learned without significant performance
degradation.

    ", Artificial Intelligence,convolutional neural networks,Artificial Association Neural Networks
"  In this work, we propose a Graph Convolutional Neural Networks (GCN) based
scheduling algorithm for adhoc networks. In particular, we consider a
generalized interference model called the $k$-tolerant conflict graph model and
design an efficient approximation for the well-known Max-Weight scheduling
algorithm. A notable feature of this work is that the proposed method do not
require labelled data set (NP-hard to compute) for training the neural network.
Instead, we design a loss function that utilises the existing greedy approaches
and trains a GCN that improves the performance of greedy approaches. Our
extensive numerical experiments illustrate that using our GCN approach, we can
significantly ($4$-$20$ percent) improve the performance of the conventional
greedy approach.

    ", Systems and Control,convolutional neural networks,Graph Neural Network based scheduling : Improved throughput under a generalized interference model
"  Damage assessment after natural disasters is needed to distribute aid and
forces to recovery from damage dealt optimally. This process involves acquiring
satellite imagery for the region of interest, localization of buildings, and
classification of the amount of damage caused by nature or urban factors to
buildings. In case of natural disasters, this means processing many square
kilometers of the area to judge whether a particular building had suffered from
the damaging factors.
", Computer Vision and Pattern Recognition,convolutional neural networks,Fully convolutional Siamese neural networks for buildings damage assessment from satellite images
"  Recently, the stability of graph filters has been studied as one of the key
theoretical properties driving the highly successful graph convolutional neural
networks (GCNs). The stability of a graph filter characterizes the effect of
topology perturbation on the output of a graph filter, a fundamental building
block for GCNs. Many existing results have focused on the regime of small
perturbation with a small number of edge rewires. However, the number of edge
rewires can be large in many applications. To study the latter case, this work
departs from the previous analysis and proves a bound on the stability of graph
filter relying on the filter's frequency response. Assuming the graph filter is
low pass, we show that the stability of the filter depends on perturbation to
the community structure. As an application, we show that for stochastic block
model graphs, the graph filter distance converges to zero when the number of
nodes approaches infinity. Numerical simulations validate our findings.

    ", Signal Processing,convolutional neural networks,On the Stability of Low Pass Graph Filter With a Large Number of Edge Rewires
"  Many nonequilibrium systems, such as biochemical reactions and socioeconomic
interactions, can be described by reaction-diffusion equations that demonstrate
a wide variety of complex spatiotemporal patterns. The diversity of the
morphology of these patterns makes it difficult to classify them quantitatively
and they are often described visually. Hence, searching through a large
parameter space for patterns is a tedious manual task. We discuss how
convolutional neural networks can be used to scan the parameter space,
investigate existing patterns in more detail, and aid in finding new groups of
patterns. As an example, we consider the Gray-Scott model for which training
data is easy to obtain. Due to the popularity of machine learning in many
scientific fields, well maintained open source toolkits are available that make
it easy to implement the methods we discuss in advanced undergraduate and
graduate computational physics projects.

    ", Computational Physics,convolutional neural networks,Exploring complex pattern formation with convolutional neural networks
"  Equivariance has emerged as a desirable property of representations of
objects subject to identity-preserving transformations that constitute a group,
such as translations and rotations. However, the expressivity of a
representation constrained by group equivariance is still not fully understood.
We address this gap by providing a generalization of Cover's Function Counting
Theorem that quantifies the number of linearly separable and group-invariant
binary dichotomies that can be assigned to equivariant representations of
objects. We find that the fraction of separable dichotomies is determined by
the dimension of the space that is fixed by the group action. We show how this
relation extends to operations such as convolutions, element-wise
nonlinearities, and global and local pooling. While other operations do not
change the fraction of separable dichotomies, local pooling decreases the
fraction, despite being a highly nonlinear operation. Finally, we test our
theory on intermediate representations of randomly initialized and fully
trained convolutional neural networks and find perfect agreement.

    ", Machine Learning,convolutional neural networks,Capacity of Group-invariant Linear Readouts from Equivariant Representations: How Many Objects can be Linearly Classified Under All Possible Views?
"  We address the issue of safety in reinforcement learning. We pose the problem
in a discounted infinite-horizon constrained Markov decision process framework.
Existing results have shown that gradient-based methods are able to achieve an
$\mathcal{O}(1/\sqrt{T})$ global convergence rate both for the optimality gap
and the constraint violation. We exhibit a natural policy gradient-based
algorithm that has a faster convergence rate $\mathcal{O}(\log(T)/T)$ for both
the optimality gap and the constraint violation. When Slater's condition is
satisfied and known a priori, zero constraint violation can be further
guaranteed for a sufficiently large $T$ while maintaining the same convergence
rate.

    ", Machine Learning,reinforcement learning,Fast Global Convergence of Policy Optimization for Constrained MDPs
"  Multi-agent reinforcement learning tasks put a high demand on the volume of
training samples. Different from its single-agent counterpart, distributed
value-based multi-agent reinforcement learning faces the unique challenges of
demanding data transfer, inter-process communication management, and high
requirement of exploration. We propose a containerized learning framework to
solve these problems. We pack several environment instances, a local learner
and buffer, and a carefully designed multi-queue manager which avoids blocking
into a container. Local policies of each container are encouraged to be as
diverse as possible, and only trajectories with highest priority are sent to a
global learner. In this way, we achieve a scalable, time-efficient, and diverse
distributed MARL learning framework with high system throughput. To own
knowledge, our method is the first to solve the challenging Google Research
Football full game $5\_v\_5$. On the StarCraft II micromanagement benchmark,
our method gets $4$-$18\times$ better results compared to state-of-the-art
non-distributed MARL algorithms.

    ", Machine Learning,reinforcement learning,Containerized Distributed Value-Based Multi-Agent Reinforcement Learning
"  Collaborating with humans requires rapidly adapting to their individual
strengths, weaknesses, and preferences. Unfortunately, most standard
multi-agent reinforcement learning techniques, such as self-play (SP) or
population play (PP), produce agents that overfit to their training partners
and do not generalize well to humans. Alternatively, researchers can collect
human data, train a human model using behavioral cloning, and then use that
model to train ""human-aware"" agents (""behavioral cloning play"", or BCP). While
such an approach can improve the generalization of agents to new human
co-players, it involves the onerous and expensive step of collecting large
amounts of human data first. Here, we study the problem of how to train agents
that collaborate well with human partners without using human data. We argue
that the crux of the problem is to produce a diverse set of training partners.
Drawing inspiration from successful multi-agent approaches in competitive
domains, we find that a surprisingly simple approach is highly effective. We
train our agent partner as the best response to a population of self-play
agents and their past checkpoints taken throughout training, a method we call
Fictitious Co-Play (FCP). Our experiments focus on a two-player collaborative
cooking simulator that has recently been proposed as a challenge problem for
coordination with humans. We find that FCP agents score significantly higher
than SP, PP, and BCP when paired with novel agent and human partners.
Furthermore, humans also report a strong subjective preference to partnering
with FCP agents over all baselines.

    ", Machine Learning,reinforcement learning,Collaborating with Humans without Human Data
"  Reliable AI agents should be mindful of the limits of their knowledge and
consult humans when sensing that they do not have sufficient knowledge to make
sound decisions. We formulate a hierarchical reinforcement learning framework
for learning to decide when to request additional information from humans and
what type of information would be helpful to request. Our framework extends
partially-observed Markov decision processes (POMDPs) by allowing an agent to
interact with an assistant to leverage their knowledge in accomplishing tasks.
Results on a simulated human-assisted navigation problem demonstrate the
effectiveness of our framework: aided with an interaction policy learned by our
method, a navigation policy achieves up to a 7x improvement in task success
rate compared to performing tasks only by itself. The interaction policy is
also efficient: on average, only a quarter of all actions taken during a task
execution are requests for information. We analyze benefits and challenges of
learning with a hierarchical policy structure and suggest directions for future
work.

    ", Machine Learning,reinforcement learning,Learning When and What to Ask: a Hierarchical Reinforcement Learning Framework
"  Plants are dynamic systems that are integral to our existence and survival.
Plants face environment changes and adapt over time to their surrounding
conditions. We argue that plant responses to an environmental stimulus are a
good example of a real-world problem that can be approached within a
reinforcement learning (RL)framework. With the objective of controlling a plant
by moving the light source, we propose GrowSpace, as a new RL benchmark. The
back-end of the simulator is implemented using the Space Colonisation
Algorithm, a plant growing model based on competition for space. Compared to
video game RL environments, this simulator addresses a real-world problem and
serves as a test bed to visualize plant growth and movement in a faster way
than physical experiments. GrowSpace is composed of a suite of challenges that
tackle several problems such as control, multi-stage learning,fairness and
multi-objective learning. We provide agent baselines alongside case studies to
demonstrate the difficulty of the proposed benchmark.

    ", Machine Learning,reinforcement learning,GrowSpace: Learning How to Shape Plants
"  State abstraction enables sample-efficient learning and better task transfer
in complex reinforcement learning environments. Recently, we proposed RePReL
(Kokel et al. 2021), a hierarchical framework that leverages a relational
planner to provide useful state abstractions for learning. We present a brief
overview of this framework and the use of a dynamic probabilistic logic model
to design these state abstractions. Our experiments show that RePReL not only
achieves better performance and efficient learning on the task at hand but also
demonstrates better generalization to unseen tasks.

    ", Artificial Intelligence,reinforcement learning,Dynamic probabilistic logic models for effective abstractions in RL
"  We report two essential improvements in readability assessment: 1. three
novel features in advanced semantics and 2. the timely evidence that
traditional ML models (e.g. Random Forest, using handcrafted features) can
combine with transformers (e.g. RoBERTa) to augment model performance. First,
we explore suitable transformers and traditional ML models. Then, we extract
255 handcrafted linguistic features using self-developed extraction software.
Finally, we assemble those to create several hybrid models, achieving
state-of-the-art (SOTA) accuracy on popular datasets in readability assessment.
The use of handcrafted features help model performance on smaller datasets.
Notably, our RoBERTA-RF-T1 hybrid achieves the near-perfect classification
accuracy of 99%, a 20.3% increase from the previous SOTA.

    ", Computation and Language,natural language processing,Pushing on Text Readability Assessment: A Transformer Meets Handcrafted Linguistic Features
